id,user_id,title,summary,content,cover_avatar,label,subject,sub_classify,type,visible_range,page_views,like_count,collect_count,comment_count,create_time,update_time
710000000000000001,2043642606338903001,旅行话题第1期,围绕生活方式的实用讨论第1期,这是一篇关于旅行与生活方式的内容样例 涵盖场景建议和经验复盘 编号1,https://cdn.knowledgelink.local/forum/mix/cover_1.jpg,旅行,生活方式,入门指南,经验总结,公开,117,18,9,5,2026-02-01 09:11:00,2026-02-01 09:46:00
710000000000000002,2043642606338903002,美食话题第2期,围绕兴趣爱好的实用讨论第2期,这是一篇关于美食与兴趣爱好的内容样例 涵盖场景建议和经验复盘 编号2,https://cdn.knowledgelink.local/forum/mix/cover_2.jpg,美食,兴趣爱好,经验分享,问题求助,公开,154,31,16,5,2026-02-01 09:22:00,2026-02-01 09:57:00
710000000000000003,2043642606338903003,财经话题第3期,围绕家庭关系的实用讨论第3期,这是一篇关于财经与家庭关系的内容样例 涵盖场景建议和经验复盘 编号3,https://cdn.knowledgelink.local/forum/mix/cover_3.jpg,财经,家庭关系,踩坑复盘,观点讨论,公开,191,44,23,5,2026-02-01 09:33:00,2026-02-01 10:08:00
710000000000000004,2043642606338903004,育儿话题第4期,围绕城市探索的实用讨论第4期,这是一篇关于育儿与城市探索的内容样例 涵盖场景建议和经验复盘 编号4,https://cdn.knowledgelink.local/forum/mix/cover_4.jpg,育儿,城市探索,案例解析,资源分享,仅粉丝,228,57,30,5,2026-02-01 09:44:00,2026-02-01 10:19:00
710000000000000005,2043642606338903005,摄影话题第5期,围绕消费观察的实用讨论第5期,这是一篇关于摄影与消费观察的内容样例 涵盖场景建议和经验复盘 编号5,https://cdn.knowledgelink.local/forum/mix/cover_5.jpg,摄影,消费观察,清单推荐,经验总结,公开,265,70,37,5,2026-02-01 09:55:00,2026-02-01 10:30:00
710000000000000006,2043642606338903006,电影话题第6期,围绕健康习惯的实用讨论第6期,这是一篇关于电影与健康习惯的内容样例 涵盖场景建议和经验复盘 编号6,https://cdn.knowledgelink.local/forum/mix/cover_6.jpg,电影,健康习惯,趋势观察,问题求助,公开,302,83,44,5,2026-02-01 10:06:00,2026-02-01 10:41:00
710000000000000007,2043642606338903007,读书话题第7期,围绕文化体验的实用讨论第7期,这是一篇关于读书与文化体验的内容样例 涵盖场景建议和经验复盘 编号7,https://cdn.knowledgelink.local/forum/mix/cover_7.jpg,读书,文化体验,入门指南,观点讨论,公开,339,96,51,5,2026-02-01 10:17:00,2026-02-01 10:52:00
710000000000000008,2043642606338903008,健身话题第8期,围绕职业成长的实用讨论第8期,这是一篇关于健身与职业成长的内容样例 涵盖场景建议和经验复盘 编号8,https://cdn.knowledgelink.local/forum/mix/cover_8.jpg,健身,职业成长,经验分享,资源分享,仅粉丝,376,109,58,5,2026-02-01 10:28:00,2026-02-01 11:03:00
710000000000000009,2043642606338903009,职场话题第9期,围绕生活方式的实用讨论第9期,这是一篇关于职场与生活方式的内容样例 涵盖场景建议和经验复盘 编号9,https://cdn.knowledgelink.local/forum/mix/cover_9.jpg,职场,生活方式,踩坑复盘,经验总结,公开,413,122,65,5,2026-02-01 10:39:00,2026-02-01 11:14:00
710000000000000010,2043642606338903010,心理话题第10期,围绕兴趣爱好的实用讨论第10期,这是一篇关于心理与兴趣爱好的内容样例 涵盖场景建议和经验复盘 编号10,https://cdn.knowledgelink.local/forum/mix/cover_10.jpg,心理,兴趣爱好,案例解析,问题求助,公开,450,135,72,5,2026-02-01 10:50:00,2026-02-01 11:25:00
